,metric_group_0,metric_group_1,metric_group_2,dislike_per_month,account_tenure,reply_per_message,dislike_pcnt,newfriend_pcnt_chng,days_since_newfriend
like_per_month,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newfriend_per_month,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_per_month,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adview_per_month,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dislike_per_month,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unfriend_per_month,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
message_per_month,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0
reply_per_month,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0
account_tenure,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
adview_per_post,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reply_per_message,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
like_per_post,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
post_per_message,0.20203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfriend_per_newfriend,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dislike_pcnt,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
unfriend_per_newfriend_scaled,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newfriend_pcnt_chng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
days_since_newfriend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
unfriend_28day_avg_84day_obs,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfriend_28day_avg_84day_obs_scaled,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
