account_id,observation_date,is_churn,like_per_month,newfriend_per_month,post_per_month,adview_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure,adview_per_post,reply_per_message,like_per_post,post_per_message,unfriend_per_newfriend,dislike_pcnt,unfriend_per_newfriend_scaled,newfriend_pcnt_chng,days_since_newfriend,unfriend_28day_avg_84day_obs,unfriend_28day_avg_84day_obs_scaled
27,2020-03-01,False,28.0,5.0,14.0,33.0,2.0,1.0,1.0,0.0,55.0,2.357143,0.0,2.0,14.0,0.2,0.06666667,0.0,4.0,0.0,0.0,0.0
51,2020-03-01,False,26.0,5.0,4.0,19.0,4.0,1.0,42.0,28.0,55.0,4.75,0.6666667,6.5,0.0952381,0.2,0.13333334,0.0,-0.16666669,0.0,0.0,0.0
95,2020-03-01,False,74.0,5.0,64.0,17.0,20.0,0.0,12.0,6.0,55.0,0.265625,0.5,1.15625,5.3333335,0.0,0.21276596,0.0,0.25,0.0,0.0,0.0
123,2020-03-01,False,28.0,6.0,13.0,4.0,25.0,0.0,11.0,1.0,55.0,0.30769232,0.09090909,2.1538463,1.1818181,0.0,0.4716981,0.0,1.0,0.0,0.0,0.0
189,2020-03-01,True,3.0,1.0,8.0,16.0,2.0,0.0,0.0,0.0,55.0,2.0,0.0,0.375,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
331,2020-03-01,False,193.0,7.0,12.0,25.0,1.0,0.0,11.0,6.0,55.0,2.0833333,0.54545456,16.083334,1.0909091,0.0,0.005154639,0.0,1.3333333,0.0,0.0,0.0
352,2020-03-01,False,10.0,2.0,5.0,3.0,4.0,0.0,3.0,0.0,55.0,0.6,0.0,2.0,1.6666666,0.0,0.2857143,0.0,1.0,0.0,0.0,0.0
374,2020-03-01,False,333.0,10.0,273.0,114.0,30.0,0.0,98.0,34.0,55.0,0.41758242,0.3469388,1.2197802,2.7857144,0.0,0.08264463,0.0,0.42857146,0.0,0.0,0.0
419,2020-03-01,False,87.0,4.0,28.0,93.0,20.0,0.0,11.0,2.0,55.0,3.3214285,0.18181819,3.107143,2.5454545,0.0,0.18691589,0.0,3.0,0.0,0.0,0.0
421,2020-03-01,False,251.0,26.0,144.0,251.0,57.0,1.0,26.0,14.0,55.0,1.7430556,0.53846157,1.7430556,5.5384617,0.03846154,0.18506494,0.0,0.13043475,0.0,0.0,0.0
441,2020-03-01,False,52.0,6.0,11.0,47.0,8.0,2.0,12.0,10.0,55.0,4.2727275,0.8333333,4.7272725,0.9166667,0.33333334,0.13333334,0.0,0.20000005,0.0,0.0,0.0
480,2020-03-01,False,32.0,16.0,64.0,44.0,17.0,1.0,42.0,7.0,55.0,0.6875,0.16666667,0.5,1.5238096,0.0625,0.3469388,0.0,0.6,0.0,0.0,0.0
533,2020-03-01,False,57.0,7.0,70.0,13.0,1.0,1.0,7.0,3.0,55.0,0.18571429,0.42857143,0.8142857,10.0,0.14285715,0.01724138,0.0,0.16666663,0.0,0.0,0.0
586,2020-03-01,False,55.0,1.0,43.0,27.0,3.0,0.0,50.0,19.0,55.0,0.627907,0.38,1.2790698,0.86,0.0,0.05172414,0.0,-0.6666666,0.0,0.0,0.0
595,2020-03-01,False,14.0,5.0,16.0,52.0,25.0,0.0,43.0,23.0,55.0,3.25,0.53488374,0.875,0.37209302,0.0,0.64102566,0.0,-0.44444442,0.0,0.0,0.0
623,2020-03-01,False,123.0,3.0,68.0,23.0,63.0,1.0,30.0,15.0,55.0,0.3382353,0.5,1.8088236,2.2666667,0.33333334,0.33870968,0.0,-0.5,0.0,0.0,0.0
642,2020-03-01,False,64.0,16.0,34.0,56.0,6.0,1.0,124.0,13.0,55.0,1.6470588,0.10483871,1.882353,0.27419356,0.0625,0.08571429,0.0,0.7777778,0.0,0.0,0.0
672,2020-03-01,False,16.0,6.0,0.0,9.0,3.0,0.0,29.0,23.0,55.0,0.0,0.79310346,0.0,0.0,0.0,0.15789473,0.0,0.20000005,0.0,0.0,0.0
755,2020-03-01,False,35.0,1.0,7.0,17.0,9.0,0.0,190.0,86.0,55.0,2.4285715,0.4526316,5.0,0.036842104,0.0,0.20454545,0.0,-0.6666666,0.0,0.0,0.0
795,2020-03-01,False,43.0,3.0,9.0,30.0,6.0,0.0,35.0,9.0,55.0,3.3333333,0.25714287,4.7777777,0.25714287,0.0,0.12244898,0.0,0.5,0.0,0.0,0.0
856,2020-03-01,False,202.0,13.0,60.0,65.0,32.0,0.0,30.0,3.0,55.0,1.0833334,0.1,3.3666666,2.0,0.0,0.13675214,0.0,-0.2352941,0.0,0.0,0.0
926,2020-03-01,False,16.0,1.0,6.0,7.0,1.0,0.0,55.0,9.0,55.0,1.1666666,0.16363636,2.6666667,0.10909091,0.0,0.05882353,0.0,-0.5,0.0,0.0,0.0
959,2020-03-01,False,8.0,0.0,2.0,6.0,29.0,0.0,16.0,8.0,55.0,3.0,0.5,4.0,0.125,0.0,0.7837838,0.0,-1.0,0.0,0.0,0.0
967,2020-03-01,False,309.0,25.0,446.0,71.0,26.0,0.0,6.0,0.0,55.0,0.15919283,0.0,0.69282514,74.333336,0.0,0.07761194,0.0,0.25,0.0,0.0,0.0
980,2020-03-01,False,22.0,4.0,4.0,9.0,6.0,0.0,8.0,0.0,55.0,2.25,0.0,5.5,0.5,0.0,0.21428572,0.0,-0.4285714,0.0,0.0,0.0
992,2020-03-01,False,80.0,0.0,14.0,25.0,1.0,0.0,366.0,116.0,55.0,1.7857143,0.3169399,5.714286,0.038251366,0.0,0.012345679,0.0,-1.0,0.0,0.0,0.0
1020,2020-03-01,False,2.0,1.0,5.0,3.0,30.0,0.0,110.0,38.0,55.0,0.6,0.34545454,0.4,0.045454547,0.0,0.9375,0.0,-0.875,0.0,0.0,0.0
1025,2020-03-01,False,12.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,55.0,1.6666666,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,2020-03-01,False,25.0,1.0,20.0,7.0,1.0,1.0,9.0,1.0,55.0,0.35,0.11111111,1.25,2.2222223,1.0,0.03846154,0.0,0.0,0.0,0.0,0.0
