group_metric_offset,weight,retain_impact,group_metrics
offset,4.313391838771678,0.9867888098906463,baseline
metric_group_2,0.5736217371433736,0.005723756489752652,message_per_month|reply_per_month
account_tenure,0.45405084013803587,0.004780771361154401,account_tenure
dislike_per_month,0.18967828405958498,0.002257558102312429,dislike_per_month
days_since_newfriend,0.15830770003440717,0.0019124336943302511,days_since_newfriend
metric_group_0,0.14876820294057305,0.0018053687496342175,adview_per_month|adview_per_post|like_per_month|like_per_post|newfriend_per_month|post_per_message|post_per_month
newfriend_pcnt_chng,0.08498855136215794,0.0010633346939707966,newfriend_pcnt_chng
reply_per_message,-0.05527408497011321,-0.0007403203302303041,reply_per_message
metric_group_1,-0.1435105666134251,-0.0020077104049596173,unfriend_28day_avg_84day_obs|unfriend_28day_avg_84day_obs_scaled|unfriend_per_month|unfriend_per_newfriend|unfriend_per_newfriend_scaled
dislike_pcnt,-0.2799986583248112,-0.004194602238026701,dislike_pcnt
