,count,nonzero,mean,std,skew,min,1 pct,25 pct,50 pct,75 pct,99 pct,max
like_per_month,25806.0,1.0,1.6795747842116604e-17,0.9999999999999998,-0.014909773807045319,-2.8295206926589462,-2.2989725882661665,-0.6609250304576535,-0.0059818302017791,0.6480039976726704,2.3325111492937856,3.89404501807429
newfriend_per_month,25806.0,1.0,5.506802571185772e-19,1.0,3.6679614627198904,-0.8286737387043485,-0.8286737387043485,-0.5784703971497072,-0.3282670555950658,0.1721396275142168,4.050291421611157,22.940643708986578
post_per_month,25806.0,1.0,-6.415424995431425e-17,1.0,-0.04868789083634203,-2.557697522883568,-2.557697522883568,-0.6854629727926652,-0.0050620193385393,0.6667751367600362,2.341170667031935,4.334228821947902
adview_per_month,25806.0,1.0,-2.491828163461562e-17,1.0,-0.045441941950313064,-2.467415855485977,-2.467415855485977,-0.649814816000405,0.0107314174857506,0.6769063490352487,2.3220623741310007,3.847905499641076
dislike_per_month,25806.0,1.0,-7.70952359966008e-18,1.0,-0.042540528377865865,-2.1101011468697317,-2.1101011468697317,-0.5934597471048155,0.0597221507775518,0.6645682084280736,2.2573999576672508,3.847919427584053
unfriend_per_month,25806.0,1.0,8.370339908202374e-17,1.0,1.7155332741197178,-0.7813128846745151,-0.7813128846745151,-0.7813128846745151,0.0612383600914378,0.554051358989854,3.1505929579353142,9.834832587053585
message_per_month,25806.0,1.0,2.0375169513387356e-16,1.0,0.08323619467335688,-2.435483744870306,-2.435483744870306,-0.7009148363945347,-0.0106604699134397,0.6612938783135489,2.379635020633523,3.764321430260132
reply_per_month,25806.0,1.0,2.2577890541861665e-17,1.0,0.2651431011498548,-1.6815453157611444,-1.6815453157611444,-0.8550603135117105,-0.0285753112622766,0.6772840645719228,2.392646125839624,3.718867770359403
adview_per_post,25806.0,1.0,1.1220110238791012e-16,1.0,1.1423644257415793,-1.4177784616462246,-1.4177784616462246,-0.7370605758395739,-0.1858383578949949,0.5302245878330129,3.121080104900696,7.030063019808567
reply_per_message,25806.0,1.0,-1.9466547089141706e-16,0.9999999999999999,3.887026887198571,-1.190119063422827,-1.190119063422827,-0.6705614399520352,-0.1086835204569033,0.3707156198135559,3.444604692145418,29.70803930703213
like_per_post,25806.0,1.0,1.6341436629993778e-16,0.9999999999999998,0.8273234691178828,-1.6669705118967608,-1.6669705118967608,-0.7283403060126844,-0.1519519551229058,0.5707570950590543,2.9183516488483896,5.429856208279657
post_per_message,25806.0,1.0,7.929795702507512e-17,0.9999999999999999,1.6199735730989555,-0.9637381195202764,-0.9637381195202764,-0.7429277883245736,-0.3439657624206903,0.438517807032278,3.4378542652154533,6.150759059654348
unfriend_per_newfriend,25806.0,1.0,1.8502856639184196e-16,1.0,1.2825045095157857,-0.8237946534231991,-0.8237946534231991,-0.8237946534231991,0.3103128232553293,0.3103128232553293,2.578527708565939,7.114957411140712
dislike_pcnt,25806.0,1.0,1.327139419655771e-16,0.9999999999999998,1.248231134052179,-1.1112434702508478,-1.1112434702508478,-0.7669016509511424,-0.3077792493221278,0.4956849716065922,3.1738990092304245,3.709541758905768
newfriend_pcnt_chng,25806.0,1.0,4.4054420569486177e-17,1.0,2.9509018710002346,-1.2859237003664226,-1.2859237003664226,-0.4703547431680374,-0.1984984241019089,0.1639767078585224,4.151202680956145,10.675754338543229
days_since_newfriend,25806.0,1.0,4.4054420569486175e-18,0.9999999999999999,3.0593325319924807,-0.6419112712643665,-0.6419112712643665,-0.5557568852286349,-0.3834481131571714,0.1334782030572188,4.268888732772341,9.351997508880512
is_churn,25806.0,0.021235371619003334,0.021235371619003334,0.1441708571563562,6.642143157207778,0.0,0.0,0.0,0.0,0.0,1.0,1.0
