group_metric_offset,weight,retain_impact,group_metrics
offset,4.30670443576259,0.9867013441216945,baseline
metric_group_2,0.5548024208996131,0.005619271387491631,message_per_month|reply_per_month
account_tenure,0.47929718416977407,0.005021970827369215,account_tenure
dislike_per_month,0.2617839545636833,0.0030315344350145823,dislike_per_month
newfriend_pcnt_chng,0.08124622230013384,0.001025001760874833,newfriend_pcnt_chng
days_since_newfriend,0.02818673056190899,0.00036483158346700684,days_since_newfriend
metric_group_0,0.0075399025168079725,9.857489973097433e-05,adview_per_month|adview_per_post|like_per_month|like_per_post|newfriend_per_month|post_per_message|post_per_month
reply_per_message,-0.04319133720925646,-0.0005788258400416524,reply_per_message
metric_group_1,-0.1378689795605303,-0.001935926527570353,unfriend_28day_avg_84day_obs|unfriend_28day_avg_84day_obs_scaled|unfriend_per_month|unfriend_per_newfriend|unfriend_per_newfriend_scaled
dislike_pcnt,-0.3475922416134177,-0.005424158117580902,dislike_pcnt
