,skew_score,fattail_score,mean,std
adview_per_month,True,,2.9827594958447414,1.208859661500904
adview_per_post,True,,0.7761967189806431,0.5474739107542783
days_since_newfriend,True,,1.4702502536494693,1.137434311385154
dislike_pcnt,,,0.23051088514168408,0.20743508629090027
dislike_per_month,True,,2.2392088105792336,1.061185533167938
like_per_month,True,,3.696694558351651,1.3064737670738882
like_per_post,True,,1.2087999061324468,0.7251477440695786
message_per_month,True,,3.2330272598368857,1.3274682151528998
newfriend_pcnt_chng,,True,0.10375117157645514,0.6182103890473817
newfriend_per_month,True,,1.633251479441824,0.9000772504775949
post_per_message,True,,0.8453150738349696,0.8771211356211015
post_per_month,True,,3.0016729786334104,1.1735840347725328
reply_per_message,True,,0.30430322314078917,0.19960541344368607
reply_per_month,True,,2.2352085552908236,1.3292585899054798
unfriend_per_month,,,0.24212716073781285,0.2939168878211054
unfriend_per_newfriend,True,,0.07400563772805094,0.13836114274615283
